Title,Year,ISSN,DOI,Link,Telecom Category,Conceptualization,,,,,Data Handling,,,Model Development / Evaluation,,,,,,,,,Model Deployment,Publication,,,,Score
Machine Learning Enables Radio Resource Allocation in the Downlink of Ultra-Low Latency Vehicular Networks,2022,21693536,10.1109/ACCESS.2022.3168986,http://doi.org/10.1109/ACCESS.2022.3168986,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Slicing a FANET for heterogeneous delay-constrained applications,2022,1403664,10.1016/j.comcom.2022.08.024,http://doi.org/10.1016/j.comcom.2022.08.024,Network Slicing and Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,Yes,Yes,No,No,Yes,No,No,No,No,No,
Data-Assisted Radio Resource Allocation in Shared Spectrum Multi-RAT Heterogeneous Network,2024,21693536,10.1109/ACCESS.2024.3464372,http://doi.org/10.1109/ACCESS.2024.3464372,Sepctrum Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,No,Yes,No,No,Yes,No,No,No,No,No,
On Joint Offloading and Resource Allocation: A Double Deep Q-Network Approach,2021,23327731,10.1109/TCCN.2021.3116251,http://doi.org/10.1109/TCCN.2021.3116251,Computing and Edge,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,NA,No,No,No,
A novel approach for flow analysis in software-based networks using L-moments theory,2023,1403664,10.1016/j.comcom.2023.01.022,http://doi.org/10.1016/j.comcom.2023.01.022,Security and Privacy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Partial,Yes,Yes,No,Yes,No,NA,No,No,No,
Extensive Edge Intelligence for Future Vehicular Networks in 6G,2021,15361284,10.1109/MWC.001.2000393,http://doi.org/10.1109/MWC.001.2000393,Computing and Edge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,Yes,Yes,Yes,No,Yes,No,NA,No,No,No,
Joint Network Control and Resource Allocation for Space-Terrestrial Integrated Network Through Hierarchal Deep Actor-Critic Reinforcement Learning,2021,189545,10.1109/TVT.2021.3071983,http://doi.org/10.1109/TVT.2021.3071983,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
Deep Reinforcement Learning Empowered Resource Allocation in Vehicular Fog Computing,2024,189545,10.1109/TVT.2023.3338578,http://doi.org/10.1109/TVT.2023.3338578,Computing and Edge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,Partial,Yes,Yes,No,No,Yes,No,No,No,No,No,
Minimizing Energy Consumption in MU-MIMO via Antenna Muting by Neural Networks With Asymmetric Loss,2024,189545,10.1109/TVT.2023.3339340,http://doi.org/10.1109/TVT.2023.3339340,Energy Efficiency,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Scalable Spatial and Geometric Learning Approach for Joint Power Control and Channel Allocation,2024,15361276,10.1109/TWC.2024.3449036,http://doi.org/10.1109/TWC.2024.3449036,Sepctrum Management,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Smart Zero-Touch Management of UAV-Based Edge Network,2022,19324537,10.1109/TNSM.2022.3160858,http://doi.org/10.1109/TNSM.2022.3160858,Computing and Edge,Yes,Yes,No,Yes,Yes,Yes,No,No,Partial,Yes,Yes,Partial,Yes,No,No,No,No,No,No,No,No,No,
Resource Allocation in THz-NOMA-Enabled HAP Systems: A Deep Reinforcement Learning Approach,2024,983063,10.1109/TCE.2024.3420718,http://doi.org/10.1109/TCE.2024.3420718,Sepctrum Management,Yes,Yes,No,Yes,Yes,Yes,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
Cloud-Edge Collaborative Resource Allocation for Blockchain-Enabled Internet of Things: A Collective Reinforcement Learning Approach,2022,23274662,10.1109/JIOT.2022.3185289,http://doi.org/10.1109/JIOT.2022.3185289,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No,
Physical-Layer Security Enhancement in Energy-Harvesting-Based Cognitive Internet of Things: A GAN-Powered Deep Reinforcement Learning Approach,2024,23274662,10.1109/JIOT.2023.3300770,http://doi.org/10.1109/JIOT.2023.3300770,Security and Privacy,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,NA,No,No,No,
Event-Triggered Reinforcement Learning Based Joint Resource Allocation for Ultra-Reliable Low-Latency V2X Communications,2024,189545,10.1109/TVT.2024.3424398,http://doi.org/10.1109/TVT.2024.3424398,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
A Study on Deep Learning for Latency Constraint Applications in Beyond 5G Wireless Systems,2020,21693536,10.1109/ACCESS.2020.3040133,http://doi.org/10.1109/ACCESS.2020.3040133,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No,
Handover Protocol Learning for LEO Satellite Networks: Access Delay and Collision Minimization,2024,15361276,10.1109/TWC.2023.3342975,http://doi.org/10.1109/TWC.2023.3342975,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,NA,No,No,No,
Joint Channel Estimation and Data Rate Maximization for Intelligent Reflecting Surface Assisted Terahertz MIMO Communication Systems,2020,21693536,10.1109/ACCESS.2020.2994100,http://doi.org/10.1109/ACCESS.2020.2994100,Channel and Physical Layer,Yes,Yes,No,Partial,Yes,Yes,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No,
H-HOME: A learning framework of federated FANETs to provide edge computing to future delay-constrained IoT systems,2022,13891286,10.1016/j.comnet.2022.109449,http://doi.org/10.1016/j.comnet.2022.109449,Computing and Edge,Yes,Yes,Partial,Yes,Yes,No,No,Partial,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Machine Learning Codebook Design for Initial Access and CSI Type-II Feedback in Sub-6-GHz 5G NR,2024,15361276,10.1109/TWC.2023.3331313,http://doi.org/10.1109/TWC.2023.3331313,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,
An NN-Aided Near-and-Far-Field Classifier via Channel Hankelization in XL-MIMO Systems,2024,21693536,10.1109/ACCESS.2024.3356586,http://doi.org/10.1109/ACCESS.2024.3356586,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,NA,No,No,No,
Leader Selection and Follower Association for UE-Centric Distributed Learning in Future Wireless Networks,2024,21693536,10.1109/ACCESS.2024.3482260,http://doi.org/10.1109/ACCESS.2024.3482260,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,NA,No,No,No,
Multiagent Federated Deep-Reinforcemen Learning-Enabled Resource Allocation for an Air-Ground-Integrated Internet of Vehicles Network,2023,10897801,10.1109/MIC.2023.3307431,http://doi.org/10.1109/MIC.2023.3307431,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,Partial,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,NA,No,No,No,
Toward ML-Based Energy-Efficient Mechanism for 6G Enabled Industrial Network in Box Systems,2021,15513203,10.1109/TII.2020.3026663,http://doi.org/10.1109/TII.2020.3026663,Energy Efficiency,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,NA,NA,No,No,
Asynchronous FDRL-Based Low-Latency Computation Offloading for Integrated Terrestrial and Non-Terrestrial Power IoT,2023,8908044,10.1109/MNET.2023.3320894,http://doi.org/10.1109/MNET.2023.3320894,Computing and Edge,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,NA,No,No,No,
