Title,Issn,SJR Best Quartile,Categories,Year
Forensic Chemistry,24681709,Q1,Analytical Chemistry (Q1); Law (Q1); Materials Chemistry (Q1); Pathology and Forensic Medicine (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2),2019
International Journal of Concrete Structures and Materials,"22341315, 19760485",Q1,Civil and Structural Engineering (Q1); Ocean Engineering (Q1),2019
"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","14321351, 03407594",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Physiology (Q2); Behavioral Neuroscience (Q3)",2019
Neuropsychological Rehabilitation,"14640694, 09602011",Q1,Arts and Humanities (miscellaneous) (Q1); Rehabilitation (Q1); Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Psychology (miscellaneous) (Q2),2019
SLAS Discovery,"24725552, 24725560",Q1,Analytical Chemistry (Q1); Biochemistry (Q2); Biotechnology (Q2); Molecular Medicine (Q3),2019
Studies in Educational Evaluation,0191491X,Q1,Education (Q1),2019
Arabian Journal of Chemistry,18785352,Q1,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),2019
Telemedicine Journal and e-Health,"15563669, 15305627",Q1,Health Information Management (Q1); Health Informatics (Q2); Medicine (miscellaneous) (Q2),2019
Current Sociology,"00113921, 14617064",Q1,Sociology and Political Science (Q1),2019
Journal of Gender Studies,"14653869, 09589236",Q1,Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Social Sciences (miscellaneous) (Q1),2019
Journal of Aerosol Science,"18791964, 00218502",Q1,Environmental Engineering (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Atmospheric Science (Q2); Environmental Chemistry (Q2); Materials Science (miscellaneous) (Q2); Pollution (Q2),2019
Journal of Animal Breeding and Genetics,"09312668, 14390388",Q1,Animal Science and Zoology (Q1); Food Animals (Q1); Medicine (miscellaneous) (Q2),2019
Journal of Cultural Economics,08852545,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)",2019
Oral Diseases,"16010825, 1354523X",Q1,Dentistry (miscellaneous) (Q1); Otorhinolaryngology (Q1),2019
Economic Analysis and Policy,03135926,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Economics and Econometrics (Q2)",2019
International Journal of Primatology,"15738604, 01640291",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2019
Futures,00163287,Q1,Business and International Management (Q1); Development (Q1); Sociology and Political Science (Q1),2019
IEEE Access,21693536,Q1,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),2019
Journal of Ethnobiology and Ethnomedicine,17464269,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Complementary and Alternative Medicine (Q1); Cultural Studies (Q1); Health (social science) (Q1),2019
Journal of Public Economic Theory,"14679779, 10973923",Q1,Sociology and Political Science (Q1); Economics and Econometrics (Q2); Finance (Q2),2019
Research in Social and Administrative Pharmacy,15517411,Q1,Pharmaceutical Science (Q1); Pharmacy (Q1),2019
Journal of Systems and Software,01641212,Q1,Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2019
Physical Review Physics Education Research,24699896,Q1,Education (Q1); Physics and Astronomy (miscellaneous) (Q2),2019
Bulletin of Engineering Geology and the Environment,"14359537, 14359529",Q1,Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1),2019
JASSS,14607425,Q1,Computer Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),2019
European Journal of Ageing,"16139372, 16139380",Q1,Health (social science) (Q1); Geriatrics and Gerontology (Q2),2019
European Journal of General Practice,"13814788, 17511402",Q1,Family Practice (Q1); Medicine (miscellaneous) (Q2),2019
International Journal of Selection and Assessment,"14682389, 0965075X",Q1,"Business, Management and Accounting (miscellaneous) (Q1); Applied Psychology (Q2); Management of Technology and Innovation (Q2); Psychology (miscellaneous) (Q2); Strategy and Management (Q2)",2019
Leadership,"17427150, 17427169",Q1,Sociology and Political Science (Q1); Strategy and Management (Q2),2019
Dentomaxillofacial Radiology,"0250832X, 1476542X",Q1,"Dentistry (miscellaneous) (Q1); Otorhinolaryngology (Q1); Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2)",2019
Family Relations,"01976664, 17413729",Q1,Education (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1); Developmental and Educational Psychology (Q2),2019
IEEE Internet Computing,10897801,Q1,Computer Networks and Communications (Q1),2019
Chemistry Education Research and Practice,11094028,Q1,Chemistry (miscellaneous) (Q1); Education (Q1),2019
Linguistics and Education,08985898,Q1,Education (Q1); Linguistics and Language (Q1),2019
Society and Natural Resources,"08941920, 15210723",Q1,Development (Q1); Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1),2019
Tourism Review,"17598451, 16605373",Q1,"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)",2019
Geocarto International,"17520762, 10106049",Q1,"Geography, Planning and Development (Q1); Water Science and Technology (Q1)",2019
Weed Science,"00431745, 15502759",Q1,Agronomy and Crop Science (Q1); Plant Science (Q1),2019
Agricultural and Food Economics,21937532,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Food Science (Q1); Economics and Econometrics (Q2),2019
EFSA Journal,18314732,Q1,Animal Science and Zoology (Q1); Food Science (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2); Microbiology (Q3),2019
International Journal of Applied Linguistics,"08026106, 14734192",Q1,Linguistics and Language (Q1),2019
"Journal of King Saud University, Engineering Sciences",10183639,Q1,"Computer Networks and Communications (Q1); Fluid Flow and Transfer Processes (Q1); Industrial and Manufacturing Engineering (Q1); Fuel Technology (Q2); Materials Science (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)",2019
Applied Acoustics,"0003682X, 1872910X",Q1,Acoustics and Ultrasonics (Q1),2019
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,"1744117X, 18780407",Q1,Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Genetics (Q3); Molecular Biology (Q3); Physiology (Q3),2019
Journal of Fish Diseases,"13652761, 01407775",Q1,Veterinary (miscellaneous) (Q1); Aquatic Science (Q2),2019
Multinational Business Review,1525383X,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)",2019
Phytochemistry,"00319422, 18733700",Q1,Horticulture (Q1); Plant Science (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2); Molecular Biology (Q3),2019
Public Choice,"15737101, 00485829",Q1,Sociology and Political Science (Q1); Economics and Econometrics (Q2),2019
Television and New Media,15274764,Q1,Cultural Studies (Q1); Visual Arts and Performing Arts (Q1),2019
Social Policy and Society,"14753073, 14747464",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2019
American Journal on Intellectual and Developmental Disabilities,"19447515, 19447558",Q1,"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Neuropsychology and Physiological Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)",2019
Latin American Politics and Society,"15482456, 1531426X",Q1,"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)",2019
Review of Policy Research,"1541132X, 15411338",Q1,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)",2019
IEEE Transactions on Dielectrics and Electrical Insulation,10709878,Q1,Electrical and Electronic Engineering (Q1),2019
International Journal of Health Policy and Management,23225939,Q1,"Health (social science) (Q1); Leadership and Management (Q1); Health Information Management (Q2); Health Policy (Q2); Management, Monitoring, Policy and Law (Q2)",2019
International Journal of Comparative Sociology,00207152,Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),2019
Mycopathologia,"15730832, 0301486X",Q1,Agronomy and Crop Science (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Applied Microbiology and Biotechnology (Q2); Microbiology (Q3),2019
Biology of Sport,0860021X,Q1,"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2); Physiology (medical) (Q3)",2019
Communication Education,"03634523, 14795795",Q1,Communication (Q1); Education (Q1); Linguistics and Language (Q1),2019
International Journal of Management Education,14728117,Q1,Education (Q1); Strategy and Management (Q2),2019
International Journal of Rail Transportation,"23248386, 23248378",Q1,Automotive Engineering (Q1); Mechanics of Materials (Q2); Transportation (Q2),2019
Journal of Electroanalytical Chemistry,15726657,Q1,Chemical Engineering (miscellaneous) (Q1); Analytical Chemistry (Q2); Electrochemistry (Q2),2019
Journal of Traditional and Complementary Medicine,22254110,Q1,Complementary and Alternative Medicine (Q1),2019
RELC Journal,"1745526X, 00336882",Q1,Education (Q1); Linguistics and Language (Q1),2019
Research in Nursing and Health,"1098240X, 01606891",Q1,Nursing (miscellaneous) (Q1),2019
Information Processing in Agriculture,22143173,Q1,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Forestry (Q1); Aquatic Science (Q2); Computer Science Applications (Q2),2019
International Journal of Human Computer Studies,"10959300, 10715819",Q1,Education (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Software (Q2),2019
OpenNano,23529520,Q1,Pharmaceutical Science (Q1); Biotechnology (Q2); Internal Medicine (Q2); Pharmacology (medical) (Q2),2019
Polymer Testing,01429418,Q1,Polymers and Plastics (Q1); Organic Chemistry (Q2),2019
PS - Political Science and Politics,"10490965, 15375935",Q1,Sociology and Political Science (Q1),2019
Environmental Values,"09632719, 17527015",Q1,Environmental Science (miscellaneous) (Q1); Philosophy (Q1),2019
European Journal of Special Needs Education,"08856257, 1469591X",Q1,Education (Q1); Health Professions (miscellaneous) (Q1); Developmental and Educational Psychology (Q2),2019
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,"15525007, 15525015",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Developmental Biology (Q3); Genetics (Q3); Molecular Medicine (Q3)",2019
NJAS - Wageningen Journal of Life Sciences,15735214,Q1,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Development (Q1); Food Science (Q1); Plant Science (Q1),2019
Asia-Pacific Journal of Teacher Education,"14692945, 1359866X",Q1,Education (Q1),2019
International Journal of Architectural Heritage,"15583066, 15583058",Q1,Architecture (Q1); Conservation (Q1); Visual Arts and Performing Arts (Q1),2019
Journal of Pragmatics,03782166,Q1,Linguistics and Language (Q1); Artificial Intelligence (Q2),2019
"Journal of Language, Identity and Education","15327701, 15348458",Q1,Education (Q1); Linguistics and Language (Q1),2019
Population Research and Policy Review,"15737829, 01675923",Q1,"Demography (Q1); Management, Monitoring, Policy and Law (Q2)",2019
European Journal of International Security,"20575637, 20575645",Q1,Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1),2019
Games and Culture,"15554139, 15554120",Q1,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Human-Computer Interaction (Q1); Applied Psychology (Q2),2019
Journal of Family Issues,"15525481, 0192513X",Q1,Social Sciences (miscellaneous) (Q1),2019
"Engineering Science and Technology, an International Journal",22150986,Q1,"Civil and Structural Engineering (Q1); Computer Networks and Communications (Q1); Electronic, Optical and Magnetic Materials (Q1); Fluid Flow and Transfer Processes (Q1); Hardware and Architecture (Q1); Mechanical Engineering (Q1); Metals and Alloys (Q1); Biomaterials (Q2)",2019
IEEE Sensors Journal,1530437X,Q1,Electrical and Electronic Engineering (Q1); Instrumentation (Q1),2019
International Journal of Child-Computer Interaction,22128689,Q1,Education (Q1); Human-Computer Interaction (Q1),2019
Journal of Music Therapy,00222917,Q1,Complementary and Manual Therapy (Q1); Music (Q1); Medicine (miscellaneous) (Q2),2019
African Archaeological Review,"15729842, 02630338",Q1,Archeology (Q1); Archeology (arts and humanities) (Q1),2019
Journal of Drug Targeting,"10292330, 1061186X",Q1,Pharmaceutical Science (Q1),2019
"Life Sciences, Society and Policy",21957819,Q1,"Philosophy (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2)",2019
Bilingual Research Journal,"15235882, 15235890",Q1,Education (Q1); Linguistics and Language (Q1),2019
Local Environment,"14696711, 13549839",Q1,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)",2019
Service Business,"18628508, 18628516",Q1,Business and International Management (Q1); Strategy and Management (Q2),2019
Environmental Geochemistry and Health,"15732983, 02694042",Q1,Environmental Science (miscellaneous) (Q1); Water Science and Technology (Q1); Environmental Chemistry (Q2); Environmental Engineering (Q2); Geochemistry and Petrology (Q2); Medicine (miscellaneous) (Q2),2019
Music Perception,07307829,Q1,Music (Q1),2019
"Plant Cell, Tissue and Organ Culture","15735044, 01676857",Q1,Horticulture (Q1),2019
Child Indicators Research,"18748988, 1874897X",Q1,Health (social science) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2),2019
Journal of Earth Science,"1867111X, 1674487X",Q1,Earth and Planetary Sciences (miscellaneous) (Q1),2019
Journal of Cultural Economy,"17530369, 17530350",Q1,Cultural Studies (Q1),2019
Management and Organization Review,"17408776, 17408784",Q1,Business and International Management (Q1); Strategy and Management (Q2),2019
Intensive and Critical Care Nursing,"09643397, 15324036",Q1,Critical Care Nursing (Q1),2019
Journal of Primary Care and Community Health,"21501327, 21501319",Q1,"Community and Home Care (Q1); Public Health, Environmental and Occupational Health (Q2)",2019
Forest Ecosystems,"21975620, 20956355",Q1,"Forestry (Q1); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2)",2019
Journal of Veterinary Cardiology,"17602734, 18750834",Q1,Veterinary (miscellaneous) (Q1); Physiology (Q3),2019
Research Papers in Education,"02671522, 14701146",Q1,Education (Q1),2019
Acta Sociologica,"00016993, 15023869",Q1,Sociology and Political Science (Q1),2019
Criminal Justice Policy Review,"08874034, 15523586",Q1,Law (Q1),2019
Environmental Technology and Innovation,23521864,Q1,Environmental Science (miscellaneous) (Q1); Plant Science (Q1); Soil Science (Q2),2019
International Economics,21107017,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",2019
Modern China,"15526836, 00977004",Q1,"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)",2019
Career Development and Transition for Exceptional Individuals,"21651442, 21651434",Q1,Education (Q1); Organizational Behavior and Human Resource Management (Q2),2019
Journal of Computational Design and Engineering,"22885048, 22884300",Q1,Computational Mechanics (Q1); Computer Graphics and Computer-Aided Design (Q1); Engineering (miscellaneous) (Q1); Computational Mathematics (Q2); Human-Computer Interaction (Q2); Modeling and Simulation (Q2),2019
Health Education and Behavior,"15526127, 10901981",Q1,"Arts and Humanities (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)",2019
Journal of Developmental and Life-Course Criminology,"21994641, 2199465X",Q1,Law (Q1); Applied Psychology (Q2); Life-span and Life-course Studies (Q2),2019
International Journal of Educational Research,08830355,Q1,Education (Q1),2019
Aquaculture Reports,23525134,Q1,Animal Science and Zoology (Q1); Aquatic Science (Q2),2019
"City, Culture and Society","18779174, 18779166",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Urban Studies (Q1)",2019
Petroleum Exploration and Development,"20964803, 18763804",Q1,Economic Geology (Q1); Geology (Q1); Energy Engineering and Power Technology (Q2); Geochemistry and Petrology (Q2); Geotechnical Engineering and Engineering Geology (Q2),2019
Review of Philosophy and Psychology,"18785166, 18785158",Q1,Philosophy (Q1); Experimental and Cognitive Psychology (Q3),2019
"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology","15314332, 10956433",Q1,Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Molecular Biology (Q3); Physiology (Q3),2019
Environmental Development,22114645,Q1,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)",2019
Fractals,"17936543, 0218348X",Q1,Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2),2019
Cultural Sociology,17499755,Q1,Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1),2019
Western Journal of Emergency Medicine,"1936900X, 19369018",Q1,Emergency Medicine (Q1); Medicine (miscellaneous) (Q2),2019
Business Process Management Journal,14637154,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)",2019
Croatian Journal of Forest Engineering,18455719,Q1,Forestry (Q1),2019
Journal of Field Archaeology,"00934690, 20424582",Q1,Archeology (Q1); Archeology (arts and humanities) (Q1),2019
Language and Cognition,"18669808, 18669859",Q1,Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q3),2019
China Agricultural Economic Review,"1756137X, 17561388",Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2),2019
BMC Oral Health,14726831,Q1,Dentistry (miscellaneous) (Q1),2019
Information Technology and Tourism,"10983058, 19434294",Q1,"Information Systems (Q1); Tourism, Leisure and Hospitality Management (Q1); Computer Science Applications (Q2)",2019
Mineral Processing and Extractive Metallurgy Review,"08827508, 15477401",Q1,Chemistry (miscellaneous) (Q1); Mechanical Engineering (Q1); Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2),2019
Zeitschrift fur Psychologie / Journal of Psychology,"21512604, 21908370",Q1,Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q2),2019
Discourse and Communication,"17504813, 17504821",Q1,Communication (Q1); Linguistics and Language (Q1),2019
Contributions to Zoology,13834517,Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2019
Distributed Computing,"01782770, 14320452",Q1,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2),2019
International Journal of Management Science and Engineering Management,"17509653, 17509661",Q1,Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2),2019
Qualitative Inquiry,"15527565, 10778004",Q1,Anthropology (Q1); Social Sciences (miscellaneous) (Q1),2019
Applied Animal Behaviour Science,01681591,Q1,Animal Science and Zoology (Q1); Food Animals (Q1),2019
Frontiers of Chemical Science and Engineering,"20950179, 20950187",Q1,Chemical Engineering (miscellaneous) (Q1),2019
Intellectual and Developmental Disabilities,"19349491, 19349556",Q1,"Community and Home Care (Q1); Education (Q1); Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)",2019
Journal of Consumer Affairs,"00220078, 17456606",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)",2019
Rhizosphere,24522198,Q1,Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q2),2019
School Leadership and Management,"13632434, 13642626",Q1,Arts and Humanities (miscellaneous) (Q1); Education (Q1); Strategy and Management (Q2),2019
Journal of Public Transportation,"1077291X, 23750901",Q1,"Geography, Planning and Development (Q1); Urban Studies (Q1); Transportation (Q2)",2019
International Journal of Retail and Distribution Management,09590552,Q1,"Business and International Management (Q1); Marketing (Q2); Tourism, Leisure and Hospitality Management (Q2)",2019
Journal of Plant Growth Regulation,"07217595, 14358107",Q1,Agronomy and Crop Science (Q1); Plant Science (Q1),2019
Science China Information Sciences,"1674733X, 18691919",Q1,Computer Science (miscellaneous) (Q1),2019
American Journal of Pharmaceutical Education,"15536467, 00029459",Q1,"Education (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmacy (Q1); Medicine (miscellaneous) (Q2)",2019
Journal of Small Business and Enterprise Development,14626004,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q2)",2019
Journal of Stored Products Research,0022474X,Q1,Agronomy and Crop Science (Q1); Horticulture (Q1); Insect Science (Q1); Food Science (Q2),2019
Trees - Structure and Function,"09311890, 14322285",Q1,Forestry (Q1); Plant Science (Q1); Ecology (Q2); Physiology (Q3),2019
Journal of Physiological Anthropology,"18806791, 18806805",Q1,"Anthropology (Q1); Human Factors and Ergonomics (Q2); Orthopedics and Sports Medicine (Q2); Public Health, Environmental and Occupational Health (Q2); Physiology (Q3); Physiology (medical) (Q3)",2019
European Journal of Social Work,13691457,Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Work (Q2),2019
International Journal of Intercultural Relations,01471767,Q1,Business and International Management (Q1); Sociology and Political Science (Q1); Social Psychology (Q2),2019
Journal of Environmental Planning and Management,"13600559, 09640568",Q1,"Environmental Science (miscellaneous) (Q1); Fluid Flow and Transfer Processes (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)",2019
Asia Pacific Journal of Tourism Research,"10941665, 17416507",Q1,"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q2)",2019
Journal of Community Health,"00945145, 15733610",Q1,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q2)",2019
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,"15320456, 18781659",Q1,"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Health, Toxicology and Mutagenesis (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2); Cell Biology (Q3); Physiology (Q3)",2019
Journal of the Science of Food and Agriculture,"10970010, 00225142",Q1,Agronomy and Crop Science (Q1); Biotechnology (Q2); Food Science (Q2); Nutrition and Dietetics (Q2),2019
Spinal Cord,"14765624, 13624393",Q1,Rehabilitation (Q1); Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Neurology (Q3),2019
Inquiry (United Kingdom),"15023923, 0020174X",Q1,Philosophy (Q1); Health Policy (Q2),2019
Politics,"14679256, 02633957",Q1,Political Science and International Relations (Q1),2019
Cultural Studies,"14664348, 09502386",Q1,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1),2019
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,"17936551, 02181274",Q1,Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2),2019
American Journal of Occupational Therapy,02729490,Q1,Occupational Therapy (Q1); Medicine (miscellaneous) (Q2),2019
Australian Critical Care,10367314,Q1,Critical Care Nursing (Q1); Emergency Nursing (Q1),2019
"Discourse, Context and Media",22116958,Q1,Communication (Q1); Cultural Studies (Q1),2019
Journal of Crime and Justice,"21589119, 0735648X",Q1,Law (Q1),2019
Remote Sensing Applications: Society and Environment,23529385,Q1,"Geography, Planning and Development (Q1); Computers in Earth Sciences (Q2)",2019
Journal of Applied Oral Science,"16787757, 16787765",Q1,Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),2019
Journal of Fashion Marketing and Management,13612026,Q1,Business and International Management (Q1); Marketing (Q2),2019
Sensors and Actuators A: Physical,09244247,Q1,"Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2)",2019
Journal of Librarianship and Information Science,"09610006, 17416477",Q1,Library and Information Sciences (Q1),2019
Chinese Journal of Polymer Science (English Edition),"02567679, 14396203",Q1,Chemical Engineering (miscellaneous) (Q1); Polymers and Plastics (Q1); Organic Chemistry (Q2),2019
Information Technology and People,09593845,Q1,Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2),2019
Journal of Insect Conservation,"15729753, 1366638X",Q1,Animal Science and Zoology (Q1); Ecology (Q2); Insect Science (Q2); Nature and Landscape Conservation (Q2),2019
Southeastern Archaeology,0734578X,Q1,Archeology (Q1),2019
Journal of Refugee Studies,"09516328, 14716925",Q1,"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)",2019
Archaeometry,"0003813X, 14754754",Q1,Archeology (Q1); History (Q1),2019
European Journal of Cardiovascular Nursing,14745151,Q1,Advanced and Specialized Nursing (Q1); Medical and Surgical Nursing (Q1); Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2),2019
Integrative Cancer Therapies,"1552695X, 15347354",Q1,Complementary and Alternative Medicine (Q1); Oncology (Q3),2019
Reactive and Functional Polymers,13815148,Q1,Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Biochemistry (Q2); Chemistry (miscellaneous) (Q2); Environmental Chemistry (Q2),2019
International Emergency Nursing,"1878013X, 1755599X",Q1,Emergency Nursing (Q1),2019
Soil Use and Management,"14752743, 02660032",Q1,Agronomy and Crop Science (Q1); Pollution (Q2); Soil Science (Q2),2019
British Politics,"1746918X, 17469198",Q1,History (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),2019
Disability and Society,"13600508, 09687599",Q1,Health (social science) (Q1); Social Sciences (miscellaneous) (Q1); Health Professions (miscellaneous) (Q2),2019
European Transport Research Review,"18668887, 18670717",Q1,Automotive Engineering (Q1); Mechanical Engineering (Q1); Transportation (Q2),2019
Polymers,20734360,Q1,Polymers and Plastics (Q1); Chemistry (miscellaneous) (Q2),2019
IEEE Circuits and Systems Magazine,1531636X,Q1,Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2),2019
Internal and Emergency Medicine,18280447,Q1,Emergency Medicine (Q1); Internal Medicine (Q2),2019
Linguistics and Language Compass,1749818X,Q1,Linguistics and Language (Q1),2019
Ageing and Society,"0144686X, 14691779",Q1,"Arts and Humanities (miscellaneous) (Q1); Health (social science) (Q1); Geriatrics and Gerontology (Q2); Public Health, Environmental and Occupational Health (Q2); Social Psychology (Q2)",2019
European Journal of Engineering Education,"03043797, 14695898",Q1,Engineering (miscellaneous) (Q1); Education (Q2),2019
Cognitive Linguistics,"09365907, 16133641",Q1,Linguistics and Language (Q1); Developmental and Educational Psychology (Q2),2019
Geological Society Special Publication,03058719,Q1,Ocean Engineering (Q1); Geology (Q2); Water Science and Technology (Q2),2019
International Journal of Structural Stability and Dynamics,"02194554, 17936764",Q1,Aerospace Engineering (Q1); Building and Construction (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1); Applied Mathematics (Q2); Civil and Structural Engineering (Q2),2019
"Journal of Accounting, Auditing and Finance",0148558X,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",2019
Journal of Library Administration,01930826,Q1,Library and Information Sciences (Q1); Public Administration (Q2),2019
Agronomy,20734395,Q1,Agronomy and Crop Science (Q1),2019
"Journal of Black Psychology, The","15524558, 00957984",Q1,Anthropology (Q1); Applied Psychology (Q2),2019
Molecules,14203049,Q1,Pharmaceutical Science (Q1); Analytical Chemistry (Q2); Chemistry (miscellaneous) (Q2); Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Molecular Medicine (Q3),2019
Acta Politica,00016810,Q1,Political Science and International Relations (Q1),2019
Brazilian Journal of Physical Therapy,"18099246, 14133555",Q1,"Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)",2019
Journal of Family Violence,"08857482, 15732851",Q1,Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2),2019
Probation Journal,"17413079, 02645505",Q1,Law (Q1),2019
